timestamp,voltage,current,temperature
2025-10-07T19:43:08.067578,3.598,0.316,26.61
2025-10-07T20:43:08.067578,3.467,0.465,21.56
2025-10-07T21:43:08.067578,3.559,0.446,21.48
2025-10-07T22:43:08.067578,3.581,0.434,29.44
2025-10-07T23:43:08.067578,3.997,0.458,25.91
2025-10-08T00:43:08.067578,3.689,0.451,23.06
2025-10-08T01:43:08.067578,3.489,0.672,20.93
2025-10-08T02:43:08.067578,3.622,0.677,21.09
2025-10-08T03:43:08.067578,3.984,0.647,20.37
2025-10-08T04:43:08.067578,3.978,0.494,27.61
2025-10-08T05:43:08.067578,3.511,0.495,23.23
2025-10-08T06:43:08.067578,3.490,0.613,22.62
2025-10-08T07:43:08.067578,3.904,0.467,24.16
2025-10-08T08:43:08.067578,3.423,0.323,23.59
2025-10-08T09:43:08.067578,3.617,0.675,26.84
2025-10-08T10:43:08.067578,3.720,0.663,28.91
2025-10-08T11:43:08.067578,3.816,0.644,27.39
2025-10-08T12:43:08.067578,3.727,0.650,27.21
2025-10-08T13:43:08.067578,3.647,0.639,28.63
2025-10-08T14:43:08.067578,3.911,0.604,26.48
2025-10-08T15:43:08.067578,3.841,0.520,28.21
2025-10-08T16:43:08.067578,3.622,0.479,27.11
2025-10-08T17:43:08.067578,3.540,0.606,29.38
2025-10-08T18:43:08.067578,3.605,0.322,27.60
2025-10-08T19:43:08.067578,3.489,0.505,27.96
2025-10-08T20:43:08.067578,3.874,0.629,28.18
2025-10-08T21:43:08.067578,3.444,0.573,28.99
2025-10-08T22:43:08.067578,3.796,0.307,22.28
2025-10-08T23:43:08.067578,3.643,0.495,22.05
2025-10-09T00:43:08.067578,4.013,0.685,20.75
2025-10-09T01:43:08.067578,3.903,0.607,26.02
2025-10-09T02:43:08.067578,3.668,0.630,26.41
2025-10-09T03:43:08.067578,3.729,0.500,20.81
2025-10-09T04:43:08.067578,3.570,0.453,25.91
2025-10-09T05:43:08.067578,3.553,0.536,29.40
2025-10-09T06:43:08.067578,3.811,0.372,20.96
2025-10-09T07:43:08.067578,3.868,0.577,27.09
2025-10-09T08:43:08.067578,3.880,0.680,23.15
2025-10-09T09:43:08.067578,3.905,0.360,21.13
2025-10-09T10:43:08.067578,3.973,0.456,22.63
2025-10-09T11:43:08.067578,4.039,0.313,24.69
2025-10-09T12:43:08.067578,4.018,0.517,26.09
2025-10-09T13:43:08.067578,3.454,0.574,24.25
2025-10-09T14:43:08.067578,3.535,0.502,21.25
2025-10-09T15:43:08.067578,3.935,0.636,26.19
2025-10-09T16:43:08.067578,3.849,0.423,26.67
2025-10-09T17:43:08.067578,3.766,0.371,27.53
2025-10-09T18:43:08.067578,3.724,0.375,26.35
2025-10-09T19:43:08.067578,3.689,0.465,27.54
2025-10-09T20:43:08.067578,3.941,0.390,29.94
2025-10-09T21:43:08.067578,3.682,0.577,27.64
2025-10-09T22:43:08.067578,4.025,0.389,28.48
2025-10-09T23:43:08.067578,3.917,0.499,27.04
2025-10-10T00:43:08.067578,3.941,0.688,24.14
2025-10-10T01:43:08.067578,3.514,0.304,23.81
2025-10-10T02:43:08.067578,3.858,0.502,29.28
2025-10-10T03:43:08.067578,3.680,0.509,21.37
2025-10-10T04:43:08.067578,3.584,0.357,29.53
2025-10-10T05:43:08.067578,3.984,0.619,21.39
2025-10-10T06:43:08.067578,4.014,0.469,25.13
2025-10-10T07:43:08.067578,3.919,0.505,26.53
2025-10-10T08:43:08.067578,3.829,0.658,26.23
2025-10-10T09:43:08.067578,3.481,0.577,27.63
2025-10-10T10:43:08.067578,3.656,0.498,25.72
2025-10-10T11:43:08.067578,3.514,0.395,25.76
2025-10-10T12:43:08.067578,3.528,0.616,29.54
2025-10-10T13:43:08.067578,3.780,0.496,28.86
2025-10-10T14:43:08.067578,3.896,0.616,24.57
2025-10-10T15:43:08.067578,3.928,0.686,22.54
2025-10-10T16:43:08.067578,4.051,0.650,23.12
2025-10-10T17:43:08.067578,3.563,0.637,21.15
2025-10-10T18:43:08.067578,3.683,0.588,23.46
2025-10-10T19:43:08.067578,3.757,0.321,24.17
2025-10-10T20:43:08.067578,3.687,0.340,22.88
2025-10-10T21:43:08.067578,3.727,0.455,24.82
2025-10-10T22:43:08.067578,3.502,0.689,28.48
2025-10-10T23:43:08.067578,3.990,0.537,26.67
2025-10-11T00:43:08.067578,3.771,0.433,29.66
2025-10-11T01:43:08.067578,3.523,0.606,21.04
2025-10-11T02:43:08.067578,3.574,0.350,23.46
2025-10-11T03:43:08.067578,3.561,0.402,29.77
2025-10-11T04:43:08.067578,3.972,0.629,27.48
2025-10-11T05:43:08.067578,3.876,0.538,22.31
2025-10-11T06:43:08.067578,4.043,0.609,30.09
2025-10-11T07:43:08.067578,3.520,0.464,28.96
2025-10-11T08:43:08.067578,3.808,0.676,23.78
2025-10-11T09:43:08.067578,3.625,0.377,21.78
2025-10-11T10:43:08.067578,3.987,0.657,25.61
2025-10-11T11:43:08.067578,4.004,0.421,27.12
2025-10-11T12:43:08.067578,3.493,0.452,25.86
2025-10-11T13:43:08.067578,3.525,0.392,22.70
2025-10-11T14:43:08.067578,3.988,0.391,26.56
2025-10-11T15:43:08.067578,3.787,0.665,24.96
2025-10-11T16:43:08.067578,3.554,0.441,25.29
2025-10-11T17:43:08.067578,3.887,0.546,21.85
2025-10-11T18:43:08.067578,3.961,0.594,29.86
2025-10-11T19:43:08.067578,4.001,0.343,24.17
2025-10-11T20:43:08.067578,3.919,0.498,21.77
2025-10-11T21:43:08.067578,3.507,0.571,21.25
2025-10-11T22:43:08.067578,3.893,0.644,23.66
2025-10-11T23:43:08.067578,3.628,0.462,23.17
2025-10-12T00:43:08.067578,3.715,0.409,28.51
2025-10-12T01:43:08.067578,3.599,0.331,23.38
2025-10-12T02:43:08.067578,4.006,0.605,22.18
2025-10-12T03:43:08.067578,3.631,0.357,22.42
2025-10-12T04:43:08.067578,3.605,0.360,25.59
2025-10-12T05:43:08.067578,3.785,0.394,28.64
2025-10-12T06:43:08.067578,3.992,0.617,28.84
2025-10-12T07:43:08.067578,4.083,0.497,27.52
2025-10-12T08:43:08.067578,3.843,0.357,28.81
2025-10-12T09:43:08.067578,3.833,0.636,22.38
2025-10-12T10:43:08.067578,3.749,0.426,29.39
2025-10-12T11:43:08.067578,3.707,0.435,29.71
2025-10-12T12:43:08.067578,3.584,0.662,22.42
2025-10-12T13:43:08.067578,3.731,0.510,30.20
2025-10-12T14:43:08.067578,3.528,0.698,25.19
2025-10-12T15:43:08.067578,4.074,0.499,26.13
2025-10-12T16:43:08.067578,3.541,0.504,28.19
2025-10-12T17:43:08.067578,4.096,0.469,21.90
2025-10-12T18:43:08.067578,3.739,0.515,22.47
2025-10-12T19:43:08.067578,3.847,0.372,24.79
2025-10-12T20:43:08.067578,3.798,0.521,28.67
2025-10-12T21:43:08.067578,3.707,0.568,28.89
2025-10-12T22:43:08.067578,3.613,0.353,29.01
2025-10-12T23:43:08.067578,4.051,0.479,29.14
2025-10-13T00:43:08.067578,3.672,0.483,26.32
2025-10-13T01:43:08.067578,3.761,0.502,28.53
2025-10-13T02:43:08.067578,4.097,0.430,22.79
2025-10-13T03:43:08.067578,3.932,0.647,29.07
2025-10-13T04:43:08.067578,3.801,0.480,30.38
2025-10-13T05:43:08.067578,4.011,0.442,23.23
2025-10-13T06:43:08.067578,3.825,0.681,21.48
2025-10-13T07:43:08.067578,3.811,0.652,29.10
2025-10-13T08:43:08.067578,3.881,0.478,24.05
2025-10-13T09:43:08.067578,3.939,0.579,30.27
2025-10-13T10:43:08.067578,4.022,0.300,29.97
2025-10-13T11:43:08.067578,3.963,0.684,29.25
2025-10-13T12:43:08.067578,4.114,0.506,30.02
2025-10-13T13:43:08.067578,4.092,0.700,28.68
2025-10-13T14:43:08.067578,3.809,0.604,23.13
2025-10-13T15:43:08.067578,3.821,0.380,25.58
2025-10-13T16:43:08.067578,3.555,0.599,23.43
2025-10-13T17:43:08.067578,3.924,0.549,29.21
2025-10-13T18:43:08.067578,3.716,0.620,22.17
2025-10-13T19:43:08.067578,3.747,0.640,23.67
2025-10-13T20:43:08.067578,4.009,0.410,23.16
2025-10-13T21:43:08.067578,3.729,0.554,28.14
2025-10-13T22:43:08.067578,4.141,0.500,24.35
2025-10-13T23:43:08.067578,3.966,0.440,22.53
2025-10-14T00:43:08.067578,3.836,0.313,26.52
