timestamp,voltage,current,temperature
2025-10-09T21:43:07.979609,3.760,0.551,20.42
2025-10-09T22:43:07.979609,3.829,0.615,28.33
2025-10-09T23:43:07.979609,3.688,0.657,23.19
2025-10-10T00:43:07.979609,3.661,0.559,21.04
2025-10-10T01:43:07.979609,3.657,0.582,20.20
2025-10-10T02:43:07.979609,3.621,0.562,20.81
2025-10-10T03:43:07.979609,3.772,0.496,28.73
2025-10-10T04:43:07.979609,3.456,0.419,23.70
2025-10-10T05:43:07.979609,3.613,0.618,29.71
2025-10-10T06:43:07.979609,3.718,0.442,27.10
2025-10-10T07:43:07.979609,3.601,0.535,20.47
2025-10-10T08:43:07.979609,3.975,0.689,27.24
2025-10-10T09:43:07.979609,3.684,0.598,29.99
2025-10-10T10:43:07.979609,3.455,0.593,21.94
2025-10-10T11:43:07.979609,3.619,0.534,26.78
2025-10-10T12:43:07.979609,3.885,0.338,25.64
2025-10-10T13:43:07.979609,3.540,0.312,24.21
2025-10-10T14:43:07.979609,3.703,0.336,26.64
2025-10-10T15:43:07.979609,3.553,0.438,22.29
2025-10-10T16:43:07.979609,3.688,0.303,23.59
2025-10-10T17:43:07.979609,3.810,0.589,28.48
2025-10-10T18:43:07.979609,3.949,0.317,21.02
2025-10-10T19:43:07.979609,3.636,0.371,21.01
2025-10-10T20:43:07.979609,3.644,0.311,20.27
2025-10-10T21:43:07.979609,3.969,0.451,28.50
2025-10-10T22:43:07.979609,4.020,0.654,27.04
2025-10-10T23:43:07.979609,3.814,0.537,26.03
2025-10-11T00:43:07.979609,3.510,0.540,26.38
2025-10-11T01:43:07.979609,3.822,0.396,22.16
2025-10-11T02:43:07.979609,3.608,0.621,22.68
2025-10-11T03:43:07.979609,3.685,0.376,24.23
2025-10-11T04:43:07.979609,4.031,0.610,25.76
2025-10-11T05:43:07.979609,3.851,0.587,21.17
2025-10-11T06:43:07.979609,3.770,0.558,21.10
2025-10-11T07:43:07.979609,3.681,0.483,25.94
2025-10-11T08:43:07.979609,3.940,0.638,21.31
2025-10-11T09:43:07.979609,3.944,0.508,26.03
2025-10-11T10:43:07.979609,3.702,0.383,21.50
2025-10-11T11:43:07.979609,3.655,0.408,25.81
2025-10-11T12:43:07.979609,3.564,0.639,25.58
2025-10-11T13:43:07.979609,3.536,0.484,28.08
